chapter,volume,name,pages,date
213,23,VIP,23,"December 28, 2001"
214,23,Strategy to Escape the Sand Kingdom,19,"January 7, 2002"
215,23,Last waltz,19,"January 21, 2002"
216,23,Vivi's Adventure,19,"January 28, 2002"
217,24,Stowaway,19,"February 4, 2002"
218,24,Why the Log Pose is Dome-Shaped,19,"February 18, 2002"
219,24,Masira the Salvage King,19,"February 25, 2002"
220,24,A Walk on the Seafloor,19,"March 4, 2002"
221,24,Monsters,19,"March 11, 2002"
222,24,Big Time Rookies,19,"March 18, 2002"
223,24,I Promise Never to Fight in This Town,19,"March 25, 2002"
224,24,Do Not Dream,19,"April 1, 2002"
225,24,People's Dreams,19,"April 8, 2002"
226,24,"Shoujou, the Salvage King of the Seafloor",19,"April 15, 2002"
227,25,Noland the Liar,19,"April 22, 2002"
228,25,"Mont Blanc Cricket, the Last Boss of the Saruyama Allied Force",19,"April 27, 2002"
229,25,Let's Eat,19,"May 13, 2002"
230,25,Pursue the South Bird!!,19,"May 20, 2002"
231,25,Bellamy the Hyena,19,"May 27, 2002"
232,25,The Hundred Million Man,19,"June 3, 2002"
233,25,The World's Greatest Power,19,"June 10, 2002"
234,25,Please Remember,19,"June 17, 2002"
235,25,Knock Up Stream,19,"June 24, 2002"
236,25,The Ship Sails to the Sky,19,"July 1, 2002"
237,26,High in the Sky,19,"July 8, 2002"
238,26,Heaven's Gate,17,"July 15, 2002"
239,26,Angel Beach,17,"July 22, 2002"
240,26,Dial Energy,17,"July 29, 2002"
241,26,Heaven's Judgment,19,"August 5, 2002"
242,26,Class-2 Criminals,17,"August 12, 2002"
243,26,Ordeals,17,"August 26, 2002"
244,26,SOS,19,"September 2, 2002"
245,26,Adventure on God's Island,17,"September 9, 2002"
246,26,"Satori, Priest of the Wandering Forest",19,"September 14, 2002"
247,27,Ordeal of Balls,19,"September 22, 2002"
248,27,Former God vs Priest,19,"October 7, 2002"
249,27,The Village Hidden in the Cloud,19,"October 12, 2002"
250,27,Ball Dragon,19,"October 21, 2002"
251,27,Overture,19,"October 28, 2002"
252,27,Junction,19,"November 2, 2002"
253,27,Vearth,19,"November 11, 2002"
254,27,Aubade,19,"November 18, 2002"
255,27,The Anaconda and the Search Team,19,"November 25, 2002"
256,28,Wyper the Berserker,19,"December 2, 2002"
257,28,Dial Battle,19,"December 9, 2002"
258,28,The Many Souths,19,"December 16, 2002"
259,28,Pirate Zoro vs. Warrior Braham,19,"December 30, 2002"
260,28,Pirate Luffy vs. Berserker Wyper,19,"January 6, 2003"
261,28,Warrior Genbo vs. Divine Soldiers Commander Yama,19,"January 20, 2003"
262,28,Pirate Chopper vs. Priest Gedatsu,19,"January 27, 2003"
263,28,Pirate Nami and the Weird Knight vs. Divine Soldiers Lieutenants Hotori and Kotori,19,"February 3, 2003"
264,28,Warrior Kamakiri vs. God Enel,19,"February 10, 2003"
265,29,Pirate Robin vs. Divine Soldiers Commander Yama,19,"February 17, 2003"
266,29,Pirate Chopper vs. Priest Ohm,19,"February 24, 2003"
267,29,March,17,"March 3, 2003"
268,29,Suite,19,"March 10, 2003"
269,29,Concerto,19,"March 17, 2003"
270,29,Serenade,19,"March 31, 2003"
271,29,Pirate Zoro vs. Priest Ohm,19,"April 7, 2003"
272,29,Play,19,"April 14, 2003"
273,29,Quintet,19,"April 21, 2003"
274,29,Oratorio,21,"April 28, 2003"
275,29,Divina Comedia,19,"May 12, 2003"
276,30,Shandia Rhythm,19,"May 19, 2003"
277,30,Maxim,17,"May 26, 2003"
278,30,Conis,19,"June 2, 2003"
279,30,Pirate Luffy vs. God Enel,18,"June 9, 2003"
280,30,Floating,19,"June 16, 2003"
281,30,Deathpiea,19,"June 23, 2003"
282,30,Desire,19,"June 30, 2003"
283,30,On the Front Line of Rescuing Love,19,"July 7, 2003"
284,30,Sorry,19,"July 14, 2003"
285,30,Capriccio,19,"July 19, 2003"
286,31,The Monster of Shandora,17,"July 28, 2003"
287,31,God Killing,19,"August 11, 2003"
288,31,Curse,19,"August 25, 2003"
289,31,Full Moon,21,"September 1, 2003"
290,31,The Light of Shandora,19,"September 8, 2003"
291,31,I'm Right Here,19,"September 13, 2003"
292,31,"To Meet, like the Half-Moon Hidden by Clouds",19,"September 22, 2003"
293,31,Bolero,19,"September 29, 2003"
294,31,Raigo,19,"October 6, 2003"
295,31,Giant Jack,19,"October 11, 2003"
296,32,High-Altitude Situation,19,"October 20, 2003"
297,32,Praises of the Earth,19,"October 27, 2003"
298,32,Love Song,19,"November 1, 2003"
299,32,Fantasia,19,"November 10, 2003"
300,32,Symphony,19,"November 22, 2003"
301,32,I Was Here,19,"December 1, 2003"
302,32,Finale,19,"December 8, 2003"
303,32,Rich Pirates,19,"December 15, 2003"
304,32,Long Island Adventure,21,"December 22, 2003"
305,32,Foxy the Silver Fox,19,"January 5, 2004"
306,33,Donut Race!!,19,"January 19, 2004"
307,33,"Ready, Donuts!!",19,"January 26, 2004"
308,33,The Grand Interference Plan,19,"February 2, 2004"
309,33,Groggy Monsters,17,"February 9, 2004"
310,33,Groggy Ring!!,19,"February 16, 2004"
311,33,Rough Game,19,"February 23, 2004"
312,33,GOAL!!,19,"March 1, 2004"
313,33,MAIN EVENT,19,"March 8, 2004"
314,33,Combat!!!,19,"March 15, 2004"
315,33,Secret Room,19,"March 22, 2004"
316,33,Brother Soul,19,"March 29, 2004"
317,34,K.O.,21,"April 12, 2004"
318,34,Closure,19,"April 19, 2004"
319,34,Admiral Aokiji of the Marine Headquarters,19,"April 26, 2004"
320,34,Ultimate Military Force,19,"May 10, 2004"
321,34,One-on-One,19,"May 17, 2004"
322,34,Puffing Tom,19,"May 24, 2004"
323,34,"The City of Water, Water 7",19,"May 31, 2004"
324,34,Adventure in the City on the Water,19,"June 7, 2004"
325,34,The Franky Family,19,"June 14, 2004"
326,34,Iceburg-san,17,"June 21, 2004"
327,34,"Shipyard Island, Construction Dock No. 1",21,"June 28, 2004"
328,35,The Pirate Abduction Incident,19,"July 12, 2004"
329,35,"My Name Is ""Franky""",19,"July 17, 2004"
330,35,It's Decided,17,"July 26, 2004"
331,35,The Big Argument,19,"August 2, 2004"
332,35,Luffy vs. Usopp,18,"August 9, 2004"
333,35,Captain,18,"August 23, 2004"
334,35,Big Trouble in the Secret Room,19,"August 30, 2004"
335,35,WARNING,19,"September 6, 2004"
336,35,Luffy vs. Franky,19,"September 13, 2004"
337,36,Protectors of the City of Water,19,"September 18, 2004"
338,36,Coup de Vent,19,"September 27, 2004"
339,36,Rumors,19,"October 4, 2004"
340,36,The Woman Who Brings Darkness,19,"October 9, 2004"
341,36,Devil,19,"October 18, 2004"
342,36,The Messengers of Darkness,19,"October 25, 2004"
343,36,Cipher Pol No.9,19,"November 1, 2004"
344,36,Opposing Force,19,"November 8, 2004"
345,36,The Concealed,19,"November 15, 2004"
346,36,The 9th Justice,19,"November 29, 2004"
347,37,Rokushiki,19,"December 6, 2004"
348,37,Fighting Power,20,"December 13, 2004"
349,37,One Citizen,19,"December 20, 2004"
350,37,The Warehouse Under the Bridge,19,"January 3, 2005"
351,37,Klabautermann,19,"January 17, 2005"
352,37,Tom's Workers,19,"January 24, 2005"
353,37,The Legendary Shipwright,19,"January 31, 2005"
354,37,Sea Train,19,"February 7, 2005"
355,37,Spandam,19,"February 14, 2005"
356,37,Tom-san,19,"February 28, 2005"
357,37,Cutty Flam,21,"March 7, 2005"
358,38,Revival,19,"March 14, 2005"
359,38,Bingo,19,"March 19, 2005"
360,38,Departing Soon,19,"March 28, 2005"
361,38,P.S.,19,"April 4, 2005"
362,38,Ebb Tide,19,"April 11, 2005"
363,38,Aqua Laguna,19,"April 18, 2005"
364,38,Kokoro,19,"April 25, 2005"
365,38,Rocketman!!,19,"May 9, 2005"
366,38,Sortie!!,19,"May 16, 2005"
367,38,Sogeking,19,"May 23, 2005"
368,39,Sea Train Battle Game,19,"May 30, 2005"
369,39,Ramen Kenpo,19,"June 6, 2005"
370,39,You're Not Alone,19,"June 13, 2005"
371,39,The Admirable Captain T Bone,19,"June 20, 2005"
372,39,Parage,19,"June 27, 2005"
373,39,Necessary Evil,19,"July 4, 2005"
374,39,Scramble,19,"July 16, 2005"
375,39,The Superhumans of Enies Lobby,19,"July 25, 2005"
376,39,I Got It!!!,19,"August 1, 2005"
377,39,Great Battle on the Judiciary Island!!,19,"August 8, 2005"
378,40,Damage Report,19,"August 22, 2005"
379,40,Doriki,19,"August 29, 2005"
380,40,Enies Lobby Main Island Express,19,"September 5, 2005"
381,40,Fired,18,"September 12, 2005"
382,40,Demon Lair,19,"September 17, 2005"
383,40,Luffy vs Blueno,19,"September 26, 2005"
384,40,Signal the Counterattack,19,"October 3, 2005"
385,40,There Is a Way,19,"October 8, 2005"
386,40,Unprecedented,15,"October 17, 2005"
387,40,Gear,19,"October 31, 2005"
388,40,Gear 2,19,"November 7, 2005"
389,41,Response,19,"November 14, 2005"
390,41,Accepting the Challenge,19,"November 21, 2005"
391,41,The Girl Called a Devil,19,"November 28, 2005"
392,41,Dereshi,19,"December 12, 2005"
393,41,Olvia,19,"December 19, 2005"
394,41,The Demons of Ohara,19,"December 26, 2005"
395,41,Ohara vs. the World Government,19,"January 7, 2006"
396,41,Saul,19,"January 23, 2006"
397,41,In Hopes of Reaching the Future,19,"January 30, 2006"
398,41,Declaration of War,19,"February 6, 2006"
399,41,Jump Toward the Waterfall!!,19,"February 13, 2006"
400,42,The Key to Freedom,19,"February 20, 2006"
401,42,Pirates vs CP9,19,"February 27, 2006"
402,42,Handcuffs No. 2,19,"March 6, 2006"
403,42,Mr. Chivalry,19,"March 13, 2006"
404,42,Franky vs Fukurou,19,"March 20, 2006"
405,42,Power,19,"March 27, 2006"
406,42,Seimei Kikan,19,"April 10, 2006"
407,42,Monster,19,"April 17, 2006"
408,42,Monster vs Kumadori,19,"April 24, 2006"
409,42,Emergency Bad News Broadcast,19,"May 8, 2006"
410,43,Super-Size Nami,19,"May 15, 2006"
411,43,Nami vs Kalifa,19,"May 22, 2006"
412,43,You Missed Your Chance,19,"May 29, 2006"
413,43,Hunter,19,"June 5, 2006"
414,43,Sanji vs Jabra,19,"June 12, 2006"
415,43,Heat Up,19,"June 19, 2006"
416,43,Zoro vs Kaku,19,"June 26, 2006"
417,43,Asura,19,"July 3, 2006"
418,43,Luffy vs. Rob Lucci,19,"July 10, 2006"
419,43,Legend of a Hero,19,"July 15, 2006"
420,44,Buster Call,19,"July 24, 2006"
421,44,Gear 3,19,"July 31, 2006"
422,44,Rob Lucci,19,"August 7, 2006"
423,44,Mermaid Legend,19,"August 21, 2006"
424,44,Escape Ship,19,"August 28, 2006"
425,44,Bridge of Mortal Combat,19,"September 4, 2006"
426,44,A Ship Waiting for Wind,19,"September 11, 2006"
427,44,It's Not Like it's Hell Here,19,"September 16, 2006"
428,44,Let's Go Back,19,"September 25, 2006"
429,44,Utter Defeat,19,"October 2, 2006"
430,44,A Light Snow of Reminiscence Falls,19,"October 7, 2006"
431,45,Fist of Love,19,"October 23, 2006"
432,45,Jack-in-the-Box,19,"October 30, 2006"
433,45,The Name of That Sea is,19,"November 6, 2006"
434,45,Whitebeard and Red Hair,19,"November 13, 2006"
435,45,You Have My Sympathies,19,"November 20, 2006"
436,45,Pants from Franky House,19,"December 4, 2006"
437,45,Naked But Great,19,"December 11, 2006"
438,45,Pride,19,"December 18, 2006"
439,45,The Third and the Seventh,19,"December 25, 2006"
440,45,Fire Fist vs Blackbeard,19,"January 6, 2007"
441,46,Duel on Banaro Island,19,"January 22, 2007"
442,46,Adventure in the Demonic Sea,19,"January 29, 2007"
443,46,Thriller Bark,19,"February 5, 2007"
444,46,Adventure on Ghost Island,19,"February 10, 2007"
445,46,The Zombie,19,"February 19, 2007"
446,46,Doctor Hogback,19,"February 26, 2007"
447,46,Surprise Zombie,19,"March 5, 2007"
448,46,Moria,19,"March 12, 2007"
449,46,The Mysterious Four of Thriller Bark,19,"March 26, 2007"
450,47,General Zombie Night,19,"April 2, 2007"
451,47,Perona's Wonder Garden,19,"April 9, 2007"
452,47,Jigor<U+03BF> of the Wind,19,"April 16, 2007"
453,47,"Cloudy, Partly Bony",19,"April 23, 2007"
454,47,Humming,19,"April 28, 2007"
455,47,Gecko Moria of the Seven Warlords of the Sea,19,"May 14, 2007"
456,47,Demon from the Land of Ice,19,"May 21, 2007"
457,47,Meeeeat!!!,17,"May 28, 2007"
458,47,Anything but My Afro,19,"June 4, 2007"
459,47,Being Dead Isn't an Apology,19,"June 11, 2007"
460,48,Get Back Before Dawn!!,19,"June 25, 2007"
461,48,Ghost Buster,19,"July 2, 2007"
462,48,Adventures of Oars,19,"July 9, 2007"
463,48,Pirate Sanji vs Mysterious Absalom,19,"July 14, 2007"
464,48,Sanji's Dream,19,"July 23, 2007"
465,48,Pirate Usopp vs Princess Perona,19,"July 30, 2007"
466,48,Conclusion,19,"August 6, 2007"
467,48,Pirate Zoro vs Samurai Ryuma,19,"August 20, 2007"
468,48,Pirate Chopper vs Mysterious Hogback,19,"August 27, 2007"
469,48,"Come Out Here, Straw Hat Pirates!!!",19,"September 3, 2007"
470,48,Oars vs. Straw Hat Pirates,19,"September 10, 2007"
471,49,My Friend,19,"September 22, 2007"
472,49,Down,19,"October 1, 2007"
473,49,Warlord Bartholomew Kuma Appears,19,"October 6, 2007"
474,49,We Have To Do It!,19,"October 15, 2007"
475,49,Pirates of the Forest,19,"October 22, 2007"
476,49,Nightmare Luffy,19,"October 29, 2007"
477,49,<U+215C>,19,"November 5, 2007"
478,49,Luffy vs. Luffy,19,"November 12, 2007"
479,49,Warrior of Hope,19,"November 19, 2007"
480,49,Interception,19,"December 3, 2007"
481,49,Shadow's Asgard,19,"December 10, 2007"
482,50,Morning Is Coming,19,"December 17, 2007"
483,50,The End of The Dream,19,"December 25, 2007"
484,50,Squish,19,"January 4, 2008"
485,50,Straw Hat Pirates - Pirate Hunter Zoro,19,"January 21, 2008"
486,50,Piano,19,"January 28, 2008"
487,50,That Song,19,"February 4, 2008"
488,50,Song of Life,19,"February 9, 2008"
489,50,The Eighth,19,"February 25, 2008"
490,50,Arriving Again,19,"March 3, 2008"
491,50,Flying Fish Riders,19,"March 10, 2008"
492,51,Iron Mask Duval,19,"March 17, 2008"
493,51,You Know Me,19,"March 24, 2008"
494,51,Duval's Tragedy,19,"March 31, 2008"
495,51,Gaon Cannon,19,"April 7, 2008"
496,51,Yarukiman Mangrove,19,"April 14, 2008"
497,51,Adventure on the Archipelago of Dancing Soap Bubbles,19,"April 21, 2008"
498,51,The Eleven Supernovas,19,"April 28, 2008"
499,51,Sabaody Park,19,"May 19, 2008"
500,51,The Embers of History,19,"May 26, 2008"
501,51,The World Begins to Swell,19,"June 2, 2008"
502,51,The Incident of the Celestial Dragons,19,"June 9, 2008"
503,52,Aggravated Island,19,"June 16, 2008"
504,52,Pirate Front Line on the Move!!,19,"June 23, 2008"
505,52,Kuma,19,"June 30, 2008"
506,52,Roger and Rayleigh,19,"July 7, 2008"
507,52,Kizaru Arrives,19,"July 19, 2008"
508,52,Island of Carnage,19,"July 28, 2008"
509,52,Kizaru vs. Four Captains,19,"August 4, 2008"
510,52,Straw Hat Crew vs. Combat Weapon,19,"August 11, 2008"
511,52,Axe-Carrying Sentomaru,19,"August 25, 2008"
512,52,"Zoro, Gone",19,"September 1, 2008"
513,53,Beyond Rescue!!!,19,"September 8, 2008"
514,53,Mushrooms-Grow-From-the-Body Mushroom,19,"September 13, 2008"
515,53,Adventure on the Island of Women,19,"September 22, 2008"
516,53,Pirate Empress Boa Hancock,17,"September 29, 2008"
517,53,Bathing,19,"October 6, 2008"
518,53,The Arena,19,"October 11, 2008"
519,53,A King's Disposition,19,"October 27, 2008"
520,53,Eye of the Gorgon,19,"November 1, 2008"
521,53,Hoof of the Celestial Dragon,19,"November 10, 2008"
522,53,Fatal Illness,19,"November 17, 2008"
523,54,Hell,19,"November 22, 2008"
524,54,No One Can Stop This Now,19,"December 1, 2008"
525,54,The Underwater Prison Impel Down,19,"December 8, 2008"
526,54,Adventure in the Great Prison,19,"December 22, 2008"
527,54,Level 1 Crimson Hell,19,"January 5, 2009"
528,54,"Jinbe, Knight of the Sea",19,"January 19, 2009"
529,54,Level 2 Wild Beast Hell,19,"January 26, 2009"
530,54,From One Hell to Another,19,"February 2, 2009"
531,54,Level 3 Starvation Hell,19,"February 9, 2009"
532,54,Jailer Beast Minotaurus,19,"February 16, 2009"
533,55,Level 4 Inferno Hell,19,"February 23, 2009"
534,55,Chief Warden Magellan vs. Pirate Luffy,19,"March 9, 2009"
535,55,Friend,19,"March 16, 2009"
536,55,Level 5 Frozen Hell,19,"March 23, 2009"
537,55,Okama in Hell,19,"March 30, 2009"
538,55,Level 5.5 Newkama Land,19,"April 6, 2009"
539,55,Emporio Tension Hormone,19,"April 13, 2009"
540,55,Level 6 Eternal Hell,19,"April 27, 2009"
541,55,The Likes of Which It Has Never Seen,19,"May 11, 2009"
542,56,Another Incident to Be Told,19,"May 18, 2009"
543,56,Straw Hat and Blackbeard,19,"May 25, 2009"
544,56,The Lid to the Cauldron of Hell Opens,19,"June 1, 2009"
545,56,To the Sunshine in Outside World,19,"June 8, 2009"
546,56,"Fish-Man Pirate Captain Jinbe, Warlord of the Sea",17,"June 15, 2009"
